Face_1,Face_2,Face_Gender,Congruency,Block,Trial,Alignment,Condition,Type,Key-Resp,Cor-Ans,Accuracy,R-time,Trial-Start,Key-Resp-Start
A_10_13_M,A_10_13_M,Male,1,,,1,Top Same + Bottom Same,Aligned Congruent,None,A,0.0,1.500639099998807,,
A_06_05_F,A_06_05_F,Female,1,,,1,Top Same + Bottom Same,Aligned Congruent,None,A,0.0,1.500584000001254,,
A_02_01_F,A_02_01_F,Female,1,,,1,Top Same + Bottom Same,Aligned Congruent,None,A,0.0,1.5007519000009781,,
A_12_14_M,A_12_14_M,Male,1,,,1,Top Same + Bottom Same,Aligned Congruent,None,A,0.0,1.500689799999236,,
A_03_01_F,A_03_01_F,Female,1,,,1,Top Different + Bottom Different,Aligned Congruent,None,L,0.0,1.5006615000002057,,
A_10_11_M,A_10_11_M,Male,1,,,1,Top Same + Bottom Same,Aligned Congruent,None,A,0.0,1.5006859000004624,,
A_10_09_M,A_10_09_M,Male,1,,,1,Top Different + Bottom Different,Aligned Congruent,None,L,0.0,1.5006938999995327,,
A_03_04_F,R_03_04_F,Female,1,,,0,Top Same + Bottom Same,Misaligned Congruent,None,A,0.0,1.5006490999985544,,
A_14_09_M,R_10_11_M,Male,1,,,0,Top Different + Bottom Different,Misaligned Congruent,None,L,0.0,1.5007189999996626,,
A_03_02_F,R_01_04_F,Female,1,,,0,Top Different + Bottom Different,Misaligned Congruent,None,L,0.0,1.5006097000004956,,
A_05_08_F,R_01_04_F,Female,1,,,0,Top Different + Bottom Different,Misaligned Congruent,None,L,0.0,1.5007033000001684,,
A_05_08_F,R_05_08_F,Female,1,,,0,Top Same + Bottom Same,Misaligned Congruent,None,A,0.0,1.5007727000011073,,
A_09_11_M,R_09_11_M,Male,1,,,0,Top Same + Bottom Same,Misaligned Congruent,None,A,0.0,1.5007427000000462,,
A_05_06_F,R_02_06_F,Female,0,,,0,Top Different + Bottom Same,Misaligned Incongruent,None,L,0.0,1.5006532999996125,,
A_05_08_F,R_03_08_F,Female,0,,,0,Top Different + Bottom Same,Misaligned Incongruent,None,L,0.0,1.5007267000000866,,
A_10_11_M,R_10_13_M,Male,0,,,0,Top Same + Bottom Different,Misaligned Incongruent,None,A,0.0,1.5006270000012591,,
A_01_02_F,R_03_02_F,Female,0,,,0,Top Different + Bottom Same,Misaligned Incongruent,None,L,0.0,1.5006563000006283,,
A_11_13_M,R_11_09_M,Male,0,,,0,Top Same + Bottom Different,Misaligned Incongruent,None,A,0.0,1.5006918999988557,,
A_12_14_M,R_09_14_M,Male,0,,,0,Top Different + Bottom Same,Misaligned Incongruent,None,L,0.0,1.5006969999994908,,
A_14_15_M,R_12_15_M,Male,0,,,0,Top Different + Bottom Same,Misaligned Incongruent,None,L,0.0,1.500680099999954,,
A_11_10_M,A_09_10_M,Male,0,,,1,Top Different + Bottom Same,Aligned Incongruent,None,L,0.0,1.5007537000001316,,
A_10_11_M,A_10_13_M,Male,0,,,1,Top Same + Bottom Different,Aligned Incongruent,None,A,0.0,1.5008106000004773,,
A_06_08_F,A_05_08_F,Female,0,,,1,Top Different + Bottom Same,Aligned Incongruent,None,L,0.0,1.5006614000012632,,
A_09_12_M,A_09_10_M,Male,0,,,1,Top Same + Bottom Different,Aligned Incongruent,None,A,0.0,1.5007117999994082,,
A_12_09_M,A_11_09_M,Male,0,,,1,Top Different + Bottom Same,Aligned Incongruent,None,L,0.0,1.5007248999991134,,
A_02_03_F,A_02_01_F,Female,0,,,1,Top Same + Bottom Different,Aligned Incongruent,None,A,0.0,1.5008237000001827,,
A_05_07_F,A_05_07_F,Female,1,,,1,Top Different + Bottom Different,Aligned Congruent,None,L,0.0,1.5006121000005803,,
A_09_12_M,A_09_12_M,Male,1,,,1,Top Same + Bottom Same,Aligned Congruent,None,A,0.0,1.5006801999988966,,
A_05_01_F,A_05_01_F,Female,1,,,1,Top Different + Bottom Different,Aligned Congruent,None,L,0.0,1.5007050999993226,,
A_02_03_F,A_02_03_F,Female,1,,,1,Top Different + Bottom Different,Aligned Congruent,None,L,0.0,1.5006257999993975,,
A_12_14_M,A_12_14_M,Male,1,,,1,Top Same + Bottom Same,Aligned Congruent,None,A,0.0,1.5005767000002381,,
A_05_08_F,R_05_08_F,Female,1,,,0,Top Same + Bottom Same,Misaligned Congruent,None,A,0.0,1.5007343999986915,,
A_14_11_M,R_14_11_M,Male,1,,,0,Top Same + Bottom Same,Misaligned Congruent,None,A,0.0,1.5006561999998669,,
A_10_13_M,R_10_13_M,Male,1,,,0,Top Same + Bottom Same,Misaligned Congruent,None,A,0.0,1.5006315000009636,,
A_02_04_F,R_02_04_F,Female,1,,,0,Top Same + Bottom Same,Misaligned Congruent,None,A,0.0,1.5007294999995793,,
A_02_03_F,R_02_03_F,Female,1,,,0,Top Same + Bottom Same,Misaligned Congruent,None,A,0.0,1.5006101999988462,,
A_06_07_F,R_05_08_F,Female,1,,,0,Top Different + Bottom Different,Misaligned Congruent,None,L,0.0,1.5007683000003451,,
A_11_09_M,R_10_11_M,Male,1,,,0,Top Different + Bottom Different,Misaligned Congruent,None,L,0.0,1.5006577000003745,,
A_12_14_M,R_09_14_M,Male,0,,,0,Top Different + Bottom Same,Misaligned Incongruent,None,L,0.0,1.5006730999994031,,
A_01_02_F,R_01_03_F,Female,0,,,0,Top Same + Bottom Different,Misaligned Incongruent,None,A,0.0,1.5006231000006665,,
A_03_08_F,R_06_08_F,Female,0,,,0,Top Different + Bottom Same,Misaligned Incongruent,None,L,0.0,1.5007196000005931,,
A_09_14_M,R_09_11_M,Male,0,,,0,Top Same + Bottom Different,Misaligned Incongruent,None,A,0.0,1.5007033000001684,,
A_03_08_F,R_06_08_F,Female,0,,,0,Top Different + Bottom Same,Misaligned Incongruent,None,L,0.0,1.5006268999986787,,
